"filename", "language", "TypeScript", "Markdown", "JSON with Comments", "Shell Script", "JSON", "XML", "SQLite", "JavaScript", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"/home/allopze/dev/chome/bodega/lib/services/notifications.ts", "TypeScript", 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 20, 171
"/home/allopze/dev/chome/bodega/lib/services/purchasing.ts", "TypeScript", 193, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 25, 229
"/home/allopze/dev/chome/bodega/lib/services/receiving.ts", "TypeScript", 163, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 27, 203
"/home/allopze/dev/chome/bodega/lib/services/warehouse.ts", "TypeScript", 118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 18, 158
"/home/allopze/dev/chome/bodega/lib/utils.ts", "TypeScript", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 10, 77
"/home/allopze/dev/chome/bodega/lib/validation/masters.ts", "TypeScript", 163, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 18, 195
"/home/allopze/dev/chome/bodega/lib/validation/operations.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 45
"/home/allopze/dev/chome/bodega/next.config.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"/home/allopze/dev/chome/bodega/package-lock.json", "JSON", 0, 0, 0, 0, 11931, 0, 0, 0, 0, 0, 0, 1, 11932
"/home/allopze/dev/chome/bodega/package.json", "JSON", 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 1, 84
"/home/allopze/dev/chome/bodega/playwright.config.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 31
"/home/allopze/dev/chome/bodega/postcss.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 2, 8
"/home/allopze/dev/chome/bodega/proxy.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 6, 40
"/home/allopze/dev/chome/bodega/public/chome_logo.svg", "XML", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 1, 33
"/home/allopze/dev/chome/bodega/public/chome_logo_white.svg", "XML", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 1, 33
"/home/allopze/dev/chome/bodega/public/file.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"/home/allopze/dev/chome/bodega/public/globe.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"/home/allopze/dev/chome/bodega/public/next.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"/home/allopze/dev/chome/bodega/public/vercel.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"/home/allopze/dev/chome/bodega/public/window.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"/home/allopze/dev/chome/bodega/tsconfig.json", "JSON with Comments", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"/home/allopze/dev/chome/bodega/vitest.config.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"Total", "-", 6749, 1703, 34, 18, 15507, 165, 448, 31, 11819, 112, 884, 2833, 40303
